long,lat,info
-0.174086094,51.49677801,"*[8Wmulti]Prayer Room. Natural History Museum, Cromwell Road. 020 7942 5000"
-1.845383942,52.48872727,*[350WBrel]Idara Minhaj-ul-Quran. 14 Naseby Road. 0121 326 6537
-1.998589039,52.50255377,*[330WBrel]Chashma-e-Rahat Mosque. Oldbury Road. 0121 555 6321
-1.84630394,52.46548823,"*[100NoWIrregBangla]Birmingham Cultural and Education Centre. Oldknow Junior School, Oldknow Road. "
-1.882787347,52.46059381,*[1350WBrelPkstn]Hazrat Sultan Bahu Trust Jamiah Islamiyah Mosque. 17-21 Ombersley Road. 0121 440 4096
-1.921277046,52.49882609,*[1100WBrel]Medina Mosque. 7 Park Avenue. not known
-1.911331415,52.51277347,"*[300DeobPkstn]Masjid-e-Nimra. Units 1-5, Gryphon Industrial Estate, 78 Hutton Road. 0121 332 4170"
-1.493936777,52.41893735,*[500SufiBangla]Shah Jalal Jame Masjid. 75 Smith Street. 
-1.848506033,52.46383612,*[500BrelPkstn]Hazrat Shah-e-Walayat Educational Centre. 101-105 Oldknow Road. 0121 773 6419
-1.866645813,52.4579233,*[450WDeobBangla]Shah Jalal Jamia Masjid Bengali School and Islamic Centre. 61 Poplar Road and 111 Medlicott Road. 0121 772 1933
-1.848197579,52.48081185,*[100][Unsure] Idara-e-Dar-ul-Aslaam. 124-126 Pretoria Road. 
-1.909319758,52.51045874,*[300WMaudPkstn]Handsworth Islamic Centre. 27 Putney Road. 0121 551 9012
-1.822539568,52.49195444,*[200BrelPkstn]Sultan Bahu Centre. 962 Alum Rock Road. 07912 603981
-1.84791863,52.44848697,*[200Brel]Jamia Islamia Razvia Zia-ul-Eiman. Reddings Lane. 
-2.003242672,52.52066192,*[200SufiBangla]Jami Masjid and Islamic Centre. 67 Dartmouth Street. 0121 553 5598
-1.880791783,52.50823857,*[550WBrelPkstn]Raza Mosque. 9-11 Serpentine Road and 2 Yew Tree Road.. 0121 327 4204
-1.865690947,52.45536214,*[2300WBrel]Jamia Mosque Amir-e-Millat. 20-21 Shakespeare Street. 0121 773 5966
-2.447580099,50.71269715,"[Jmulti]Dorset County Hospital Chapel Prayer room. Level 3 of the South Wing, Dorset County Hospital, Williams .... 01305 250979"
-1.856254935,52.5162731,*[300NoWBrel]Jam-e-Masjid Qiblah Hadhrat Sahib Gulhar Shareef. 232-234 Slade Road. 0121 373 1075
-1.832925081,52.48920254,*[100Brel]Jamia Qadria Naushahia Islamic Centre. 71-73 Sladefield Road. 
-1.854377389,52.48506375,*[1100WBrelPkstn]Zia-ul-Quran Jamia Mosque. 233 St Saviours Road. 0121 326 0040
-1.931351423,52.50523545,*[230NoWDeobPkstn]Makki Masjid and Madressa. 75 Stafford Road. 0121 551 7417
-1.951119304,52.5040183,*[50BrelPkstn]Al-Farooq Islamic Teaching & Community Centre. 130 Station Road. 0121 507 1005
-1.876049638,52.46740255,"*[1500WArabArab]Al-Amanah Mosque. 29-35 Henley Street and Bordesley Centre, Camp Hill Island, .... 0121 753 0297"
-1.926595867,50.72802016,*[400NoWDeobBangla]Dorset Islamic Cultural Association. 59-63 Ashley Road. Not known
-1.868853271,52.45628235,*[700WMaudPkstn]Paigham-e-Islam Trust. 423 Stratford Road and 2 Fulham Road. 0121 773 8301
-1.877044737,50.74247253,*[300NoWDeobBangla]Bournemouth Mosque. 2c Cranmer Road. 01202 528417
-4.036915004,55.77235644,*[100Deob]Islamic Centre. 10 Avon Street. 01698 200072
-1.108154655,52.64012732,*[300DeobGujrti]Masjid Baytul Ilm. Spinney Hill Road. 0116 251 1018
-2.241436243,53.49595402,"*[300BrelPkstn]Markaz Dar-ul-Ehsan Manchester. First Floor, 21-23 Broughton Street. 0161 832 1526"
-1.099839807,52.62854692,*[300DeobGujrti]Madani Masjid. 77 Evington Valley Road. 0116 249 8080
-1.898188591,52.50829407,*[200NoWDeob]Al Madni Masjid. 58 Trinity Road. 0121 551 1239
-1.902742982,52.50843121,*[2000NoWDeobGujrti]Jamia Masjid Aston. 2 Trinity Road. not known
-1.885877252,52.50155126,*[1500WDeobBangla]Masjid-e-Noor. 257 Victoria Road. 0121 328 0156
-1.866769195,52.45943835,*[175NoWDeobPkstn]Masjid Umar. 98 Walford Road and 89 Medicott Road. 0121 722 2396
-1.863386929,52.45954949,*[250NoWDeob]Mohammedi Islamic Centre. 171 Walford Road. 0121 766 6388
-1.64462328,54.97002723,*[200]Newcastle Muslim Centre. Bentinck Road. 0191 273 5563
-0.083545446,51.49236276,"*[200WArab]Baitul Rahman Masjid. Unit 1, 82-96 Old Kent Road. 020 7703 2592"
-1.866830885,52.45716984,*[250NoWBrel]Mosque Gamkol Sharif Darbar-e-Alia. 38 Warwick Road. 0121 773 8120
-3.10695827,51.01469288,"*[350WDeobBangla]Taunton and Somerset Islamic Centre. Ivor House, Tower Lane. none"
-1.850814074,52.49627792,*[100WBrelPkstn]International Islamic Cultural Study Centre and Mosque. 260-262 Washwood Heath Road. 0121 326 0966
-1.857102513,52.49329195,*[400NoWDeob]Anjuman-e-Naqeebul-Islam Mosque. 78-82 Washwood Heath Road. 0121 328 4930
-1.827114075,52.49292777,*[200NoWDeob]Washwood Heath Muslim Centre. 790-792 Washwood Heath Road. 0121 327 7434
-1.828306317,52.49298819,*[100BrelPkstn]Anwar-ul-Madina. 762 Washwood Heath Road. 0121 328 4930
-2.456560135,53.55983799,*[60Deob]Masjid-e-Noor. 327-329 St Helens Road. 01204 897641
1.266909242,52.63546069,*[250WSalf]Norwich and Norfolk Muslim Association. 286 Dereham Road. 01603 626661
-1.910060048,52.50160024,*[300SufiBangla]Bangladesh Islamic Centre and Jami Masjid. 88 Wills Street. 0121 523 0624
-1.90456152,52.50392851,*[300NoWDeobBangla]Masjid Hazrat Shah Jalal Trust. 1-9 Wilton Street. 0121 507 0721
-1.892633736,52.50742557,*[300WDeobBangla]Islamic Education Centre - Aston and Masjid-e-Amon. 232 Witton Road. 0121 523 4265
-1.887985468,52.51064402,*[330WSalf]Witton Islamic Centre. 311-313 Witton Road. 0121 328 1088
-1.860466003,52.44309201,*[1500WBrelPkstn]Jamatia Islamic Centre. 179-181 Woodlands Road. 0121 778 6612
-1.917479038,52.50453749,*[150WDeobBangla]Masjid Quba. 6 Wye Cliff Road. 0121 523 7529
-1.890077591,52.50992656,*[600WDeob]Masjid Madrassa Faizul Islam. 330 Witton Road and 1-8 The Broadway. not known
-1.926917,52.449212,"[50Stdnt]Birmingham University Islamic Society. University of Birmingham Guild of Students, University of Bi.... 0121 414 3344"
-1.858910322,52.44920625,*[200DeobPkstn]Islamic Centre Zakariya. 259 Percy Road. 
-1.902083159,52.47597468,"*[1000Shia][Unsure] Jamatkhana-Ismailia. 126 Suffolk Street, Queensway. "
-1.845226362,52.46675832,*[100Irreg]Al-Haroon Educational Centre. 25 St Benedicts Road. 
-1.876473427,52.46382958,*[100Brel]Dar Ul Uloom Tajdar-e-Madina Islamic and Cultural Educational Centre. 160 Stratford Road. 
-1.943212152,52.4867657,*[2000NoWBrelPkstn]Masjid and Madressa Faiz-ul-Quran. 341 Dudley Road. 0121 455 6581
-1.853772551,52.44300208,*[50][Unsure] Madrassa Anwar-e-Madina. 859 Stratford Road. 
-0.130740255,51.52971273,*[100NoWDeobBangla]Islamic Cultural & Education Centre (Mosjid). 68 Churchway. 020 3441 0879
0.059503466,51.53115691,*[100NoWNJDeobBangla]East Ham Islamic Centre. 77-79 Market Street. 020 8472 9977
-1.521397233,53.81332174,*[120WSalfMix]Al-Towbah Masjid. Whitfield Street. 0113 2403901
-1.8435359,52.47836475,*[400BrelPkstn]Islamic Cultural Foundation. 468-474 Bordesley Green. 
-1.847714782,52.44264567,*[100]Hall Green Islamic Centre. 343 Shaftmoor Lane. 
-1.828899086,52.48986072,*[300DeobPkstn]Jamiat us-Salam. 818 Alum Rock Road. 0121 328 5697
-1.858094931,52.45617938,*[100Brel]Faizan-e-Mustafa Educational Centre. 42 Bertha Road. 07966 659171
-6.256689727,53.35045926,*[500BrelPkstn]Anwar-e-Madina Islamic Centre. 8-9 Talbot Street. 
-6.261435,53.339073,*musallah. Royal College of Surgeons. 
-6.24845,53.3437,"*[Stdnt]musallah. Goldsmith Hall, Trinity College Dublin. "
-0.355746746,51.56719381,"[50NoWSalf]Masjid Imaam Muqbil. The Arches, Stanley Road. "
-6.258934736,53.38553607,[multiStdnt]musallah. Dublin City University. 
-6.416305304,53.35265346,*Lucan mosque. 1 Liffey Road. 
-6.22018218,53.30730725,?[Stdnt]musallah. University College Dublin. 
-6.265136004,53.3340188,?Islamic Information Centre. Camden Street. 
-7.37018466,53.99922451,*Cavan Islamic Society. 9 Drumnavanagh Close. +353
-0.285126865,51.6070753,*[80NJ]Edgware Islamic Cultural Trust. 82 Chandos Crescent. 07956 333398
-1.8525213,52.46166426,*[300DeobBangla]Surma Islamic Education Centre. 30-32 Waverley Road. 0121 753 1067
-2.104219794,53.53744461,*[Sufi]Jamia Masjid Saifiya. 120 Waterloo Street. 
-0.09440437,51.47880874,*[200WArabMix]Camberwell Islamic Centre. 188 Camberwell Road. 020 7701 3687
-0.37658751,51.8799119,[multi]Chaplaincy. Arrivals entrance. 
-0.273553133,51.60779908,*[500Pkstn]Islamic Centre Edgware. 9d Deansbrook Road. 020 8728 3798
-2.483749688,53.75322767,*[700WBrelGujrti]Hanfi Sunni Jamia Masjidi Reza. 42-48 Altom Street. 01254 52608
